region,name,lat,lon,economic,
1,HÀ NỘI,21.08333333,105.9166667,3,
2,HỒ CHÍ MINH,10.808288,106.645645,3,
3,HẢI PHÒNG,20.78333333,106.6833333,3,
4,ĐÀ NẴNG,16.06666667,108.2166667,3,
5,HÀ GIANG,22.83333333,104.9833333,0,
6,CAO BẰNG,22.7730867,106.0017225,0,
7,LAI CHÂU,22.3048728,102.9628862,0,
8,LÀO CAI,22.2967657,104.0566164,1,
9,TUYÊN QUANG,21.83333333,105.1666667,0,
10,LẠNG SƠN,21.8567012,106.4424353,1,
11,BẮC KẠN,22.2571701,105.8588958,0,
12,THÁI NGUYÊN,21.6498502,105.8351394,1,
13,YÊN BÁI,21.8013688,104.5148066,1,
14,SƠN LA,21.1508502,103.8884294,0,
15,PHÚ THỌ,21.321224,105.1267207,1,
16,VĨNH PHÚC,21.311356,105.6032944,2,
17,QUẢNG NINH,21.1718046,107.2012742,3,
18,BẮC GIANG,21.3092863,106.6165128,1,
19,BẮC NINH,21.12121,106.088,2,
21,HẢI DƯƠNG,20.9443681,106.3780373,2,
22,HƯNG YÊN,20.8193369,106.0314504,1,
23,HÒA BÌNH,20.6609177,105.3924747,1,
24,HÀ NAM,20.5269088,105.9543527,1,
25,NAM ĐỊNH,20.2712241,106.1629895,1,
26,THÁI BÌNH,20.5296832,106.3876068,1,
27,NINH BÌNH,20.1844832,105.9802529,1,
28,THANH HÓA,20.1071694,105.2124457,1,
29,NGHỆ AN,19.3738868,104.9233469,1,
30,HÀ TĨNH,18.2879059,105.7842774,1,
31,QUẢNG BÌNH,17.5462658,106.2576229,1,
32,QUẢNG TRỊ,16.8581352,106.8588935,1,
33,THỪA THIÊN - HUẾ,16.33754,107.5564,1,
34,QUẢNG NAM,15.5973344,107.9758089,1,
35,QUẢNG NGÃI,14.9635349,108.6642632,1,
36,KON TUM,14.6995372,107.9323831,0,
37,BÌNH ĐỊNH,14.1525201,108.9239618,1,
38,GIA LAI,13.816937,108.212678,1,
39,PHÚ YÊN,13.2126552,109.0834225,1,
40,ĐẮK LẮK,12.8399392,108.2284947,0,
41,KHÁNH HÒA,12.1960803,108.9950386,1,
42,LÂM ĐỒNG,11.6937725,108.152754,1,
43,BÌNH PHƯỚC,11.7332484,106.906249,1,
44,BÌNH DƯƠNG,11.2240687,106.6674681,3,
45,NINH THUẬN,11.7449715,108.8983408,1,
46,TÂY NINH,11.404629,106.0033909,1,
47,BÌNH THUẬN,11.101462,107.9415938,1,
48,ĐỒNG NAI,11.0063212,107.1921807,2,
49,LONG AN,10.742097,106.141444,1,
50,ĐỒNG THÁP,10.6266659,105.6316218,1,
51,AN GIANG,10.5149025,105.1131792,1,
52,BÀ RỊA – VŨNG TÀU,10.5819798,107.2899841,2,
53,TIỀN GIANG,10.420911,106.278441,1,
54,KIÊN GIANG,9.911394499,105.2533879,1,
55,CẦN THƠ,10.0906589,105.5799367,3,
56,BẾN TRE,10.1093637,106.552567,0,
57,VĨNH LONG,10.107081,105.991612,1,
58,TRÀ VINH,9.770460599,106.3563806,1,
59,SÓC TRĂNG,9.586778899,105.9468456,1,
60,BẠC LIÊU,9.347731699,105.5097064,1,
61,CÀ MAU,9.087542899,105.032047,1,
62,ĐIỆN BIÊN,21.7210126,103.0410819,0,
63,ĐĂK NÔNG,12.1288687,107.5874261,1,
64,HẬU GIANG,9.763319699,105.6379524,1,
